pitcher_espn_id,pitcher_idx,pitcher_name,team_canonical_id,season,throws,role,season_ip,season_era,fip,siera,fb_pct,fb_sensitivity,d1b_ability_adj,d1b_ability_source,n_appearances,last_appearance
,0,Jeremiah Hampton,NCAA_614832,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-03-10
,0,Braiden Eagen,NCAA_614832,2026,,RP,2.0,,3.42,1.75,46.2,1.1314,-0.120279,fip,1,2026-03-10
,0,Sam Rosand,NCAA_614746,2026,,RP,2.0,,,,,1.0,0.0,,1,2026-02-17
,0,McRoberts,BSB_SAN_DIEGO,2026,R,RP,1.0,,,,,1.0,0.0,,1,2026-02-24
,0,Luke Krouse,NCAA_614865,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-21
,0,C. Meyer,BSB_WEST_VIRGINIA,2026,,RP,2.0,,,,,1.0,0.0,,1,2026-02-21
,0,C. Harringto,BSB_LIBERTY,2026,,RP,3.0,,,,,1.0,0.0,,1,2026-02-21
,0,Lobs,NCAA_614813,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-21
,0,Jack Miller,NCAA_614865,2026,,RP,2.0,,,,,1.0,0.0,,1,2026-02-21
,0,B. McDonough,NCAA_614656,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-21
,0,G. Sitarz,NCAA_614656,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-21
,0,J. STEWART,NCAA_614835,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-21
,0,J. COSTA,NCAA_614835,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-21
,0,B. ADAMS,NCAA_614835,2026,,RP,2.0,,,,,1.0,0.0,,1,2026-02-21
,0,Jack Weight,NCAA_614818,2026,,RP,2.0,,,,,1.0,0.0,,1,2026-02-21
,0,R. Williams,NCAA_614672,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-21
,0,J. Levine,NCAA_614656,2026,,RP,3.0,,,,,1.0,0.0,,1,2026-02-21
,0,I. Korn,BSB_WEST_VIRGINIA,2026,,RP,3.0,,,,,1.0,0.0,,1,2026-02-21
,0,White,NCAA_614813,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-21
,0,Landon Carr,BSB_NC_STATE,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-21
,0,Bl Albright,NCAA_614652,2026,L,RP,1.0,,,,,1.0,0.0,,1,2026-02-21
,0,T. August,BSB_LIBERTY,2026,,RP,2.0,,,,,1.0,0.0,,1,2026-02-21
,0,D. DIGGS,NCAA_614835,2026,,RP,3.0,,,,,1.0,0.0,,1,2026-02-21
,0,Truitt Manuel,BSB_NC_STATE,2026,,RP,2.0,,,,,1.0,0.0,,1,2026-02-21
,0,M McCrary,NCAA_614672,2026,,RP,1.0,,3.4050000000000002,2.635,22.9,0.7121,-0.121444,fip,1,2026-02-21
,0,M Goodman,NCAA_614656,2026,,RP,2.0,,,,,1.0,0.0,,1,2026-02-21
,0,K Kimble,NCAA_614672,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-21
,0,K Bowling,NCAA_614672,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-21
,0,B Thomason,NCAA_614656,2026,,RP,2.0,,,,,1.0,0.0,,1,2026-02-21
,0,A Merritt,NCAA_614656,2026,,RP,2.0,,,,,1.0,0.0,,1,2026-02-21
,0,R. Mullan,BSB_KENTUCKY,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-21
,0,D. Young,NCAA_614770,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-21
,0,C. McCormack,NCAA_614770,2026,,RP,2.0,,,,,1.0,0.0,,1,2026-02-21
,0,C. Mattison,BSB_KENTUCKY,2026,,RP,2.0,,,,,1.0,0.0,,1,2026-02-21
,0,James Pazder,NCAA_614715,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-21
,0,Wisenbaker,NCAA_614635,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-27
,0,Kleinhans,NCAA_614586,2026,R,RP,2.0,,,,,1.0,0.0,,1,2026-02-27
,0,Hicks,NCAA_614586,2026,R,RP,1.0,,,,,1.0,0.0,,1,2026-02-27
,0,Pat McKenzie,NCAA_614803,2026,R,RP,2.0,,,,,1.0,0.0,,1,2026-03-25
,0,Matthew Kahn,NCAA_614803,2026,R,RP,1.0,,,,,1.0,0.0,,1,2026-03-25
,0,Jeremiah Holder,NCAA_614803,2026,R,RP,1.0,,,,,1.0,0.0,,1,2026-03-25
,0,T. Dietrich,BSB_LIBERTY,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-25
,0,M. SALICCO,NCAA_614766,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-25
,0,K. Smith,BSB_LIBERTY,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-25
,0,A. Decker-Pe,BSB_LIBERTY,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-25
,0,N. Vargo,NCAA_614783,2026,,RP,1.0,,6.38,4.77,26.9,0.7841,0.065968,fip,1,2026-02-28
,0,James Redick,NCAA_614608,2026,R,RP,1.0,,,,,1.0,0.0,,1,2026-02-28
,0,Brandon Reiter,NCAA_614710,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-28
,0,Z Evenson,NCAA_614783,2026,,RP,3.0,,4.95,3.41,54.8,1.2861,-0.021882,fip,1,2026-02-28
,0,R Oakley,NCAA_614673,2026,,RP,3.0,,,,,1.0,0.0,,1,2026-02-28
,0,P Chaudoin,NCAA_614673,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-28
,0,J Lux,NCAA_614673,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-28
,0,C Phillips,NCAA_614783,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-28
,0,J. CAREY,NCAA_614766,2026,,RP,3.0,,,,,1.0,0.0,,1,2026-02-25
,0,Bryson Thacker,BSB_WEST_VIRGINIA,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-25
,0,Tan Paschke,NCAA_614756,2026,,RP,1.0,,,,,1.0,0.0,,1,2026-02-25
