event_id,game_date,season,home_canonical_id,away_canonical_id,home_pitcher_espn_id,away_pitcher_espn_id,home_run_1,home_run_2,home_run_3,home_run_4,away_run_1,away_run_2,away_run_3,away_run_4,home_score,away_score
401671598,2024-05-16,2024,BSB_LOUISVILLE,BSB_NOTRE_DAME,78120,50610,1,2,0,0,3,0,0,0,5,3
401632216,2024-05-16,2024,BSB_LSU,BSB_OLE_MISS,77072,54857,3,1,0,0,1,0,0,0,5,1
401632629,2024-05-16,2024,BSB_LOUISVILLE,BSB_NOTRE_DAME,33223,80385,1,2,0,0,1,0,0,0,5,1
401633539,2024-05-16,2024,NCAA_614635,BSB_BYU,67248,82530,3,2,0,0,2,2,0,0,7,6
401628168,2024-05-16,2024,BSB_AUBURN,BSB_ALABAMA,65349,77251,4,0,0,0,2,0,0,0,4,2
401633078,2024-05-17,2024,BSB_TCU,BSB_WEST_VIRGINIA,77518,81331,4,1,0,0,3,0,0,0,6,3
401632243,2024-05-17,2024,BSB_TENNESSEE,BSB_SOUTH_CAROLINA,59934,77235,1,0,1,1,3,0,0,0,8,3
401632420,2024-05-17,2024,BSB_KENTUCKY,BSB_VANDERBILT,77652,54566,13,2,0,0,1,3,0,0,17,7
401632668,2024-05-17,2024,BSB_NC_STATE,BSB_WAKE_FOREST,64890,81231,2,0,0,0,1,0,0,0,2,1
401628222,2024-05-17,2024,BSB_GEORGIA,BSB_FLORIDA,64926,77371,2,1,0,0,2,1,1,0,4,7
401628785,2024-05-17,2024,NCAA_614666,BSB_MISSOURI,65203,74031,5,0,1,0,2,0,0,0,8,2
401632217,2024-05-17,2024,BSB_LSU,BSB_OLE_MISS,77070,77586,4,0,0,0,0,1,0,0,4,2
401633715,2024-05-17,2024,BSB_BAYLOR,BSB_UCF,57524,47574,0,2,0,0,4,1,0,0,4,6
401632630,2024-05-17,2024,BSB_LOUISVILLE,BSB_NOTRE_DAME,78121,70495,8,3,0,0,3,0,1,0,14,6
401633592,2024-05-17,2024,NCAA_614661,NCAA_614710,57457,82172,3,0,0,0,2,0,1,0,3,5
401633716,2024-05-17,2024,BSB_BAYLOR,BSB_UCF,67369,67939,1,0,1,0,0,1,0,0,4,2
401633079,2024-05-17,2024,BSB_TCU,BSB_WEST_VIRGINIA,65418,81330,2,0,0,0,1,3,0,0,2,7
401628169,2024-05-18,2024,BSB_AUBURN,BSB_ALABAMA,55111,9742,3,3,1,0,7,2,0,0,12,11
401632244,2024-05-18,2024,BSB_TENNESSEE,BSB_SOUTH_CAROLINA,52628,64993,1,0,1,0,1,0,0,0,4,1
